Company Name,LinkedIn,Website,Technologies,Company Size,Industry,Phone,Connections,Associated Members
AbbaTek Group,https://www.linkedin.com/company/abbatek/,https://abbatekgroup.com/,"{'Front End': ['TypeScript', 'React.js'], 'Back End': ['TypeScript', 'Node.js', 'Express'], 'Database': ['Postgres'], 'Cloud Provider': ['AWS']}",2-10,Software Development,,4,5
Avalon Holographics,https://www.linkedin.com/company/avalon-holographics/,https://www.avalonholographics.com/,"{'Back End': ['C++', 'HLSL', 'GLSL', 'Python', 'UE4', 'Unity', 'DirectX', 'Vulkan', 'OpenGL', 'Metal']}",51-200,Computers and Electronics Manufacturing,,16,70
Bluedrop,https://www.linkedin.com/company/bluedrop-ism/,https://bluedropism.com/,"{'Front End': ['JavaScript', 'React.js'], 'Back End': ['JavaScript', 'GraphQL', 'Node.js', 'RESTful API'], 'Database': ['Postgres']}",51-200,E-Learning Providers,1.800.563.3638,15,48
Breathesuite,https://www.linkedin.com/company/breathesuite/,https://www.breathesuite.com/,"{'Front End': ['JavaScript', 'Angular', 'Ionic', 'Cordova'], 'Back End': ['C', 'Python'], 'Cloud Provider': ['AWS', 'Firebase']}",11-50,Medical Equipment Manufacturing,,16,21
C-CORE,https://www.linkedin.com/company/c-core/,https://c-core.ca/,"{'Front End': ['React.js', 'TypeScript', 'Chakra UI', 'TanStack Query', 'React Router', 'Mapbox GL JS', 'Storybook'], 'Back End': ['Python', 'FastAPI', 'SQLModel', 'STAC (SpatioTemporal Asset Catalogs)', 'Jupyter Notebooks', 'F#', '.NET'], 'Database': ['Postgres', 'Firestore', 'PostGIS'], 'DevOps Tools': ['Docker', 'Terraform', 'kubernetes', 'GCP Cloud Run', 'GitHub Actions'], 'Cloud Provider': ['GCP', 'AWS', 'On-premises']}",51-200,Research,,20,101
Celtx,https://www.linkedin.com/company/celtx/,https://www.celtx.com/,"{'Front End': ['JS', 'TypeScript', 'ProseMirror', 'React'], 'Back End': ['Python (numpy/scipy/pandas/dask/FastAPI)', 'JS', 'TypeScript', 'Perl', 'Objective-C', 'Node.js', 'Java', 'Unity/C#', 'Unreal/C++'], 'DevOps Tools': ['CodeBuild', 'Selenium'], 'Cloud Provider': ['AWS', 'DynamoDB', 'SimpleDB', 'GCP', 'Docker']}",51-200,Media Production,,8,16
ClearRisk,https://www.linkedin.com/company/clearrisk-inc/,https://www.clearrisk.com/,"{'Back End': ['Salesforce', 'Python', 'Java', 'JS', 'Node.js'], 'Database': ['SQL'], 'Cloud Provider': ['AWS (EC2', 'S3', 'Glue', 'Athena)']}",51-200,Software Development,,17,37
ClockWork Fox (Zorbit's),https://www.linkedin.com/company/clockwork-fox-studios/,https://www.zorbitsmath.com/,"{'Front End': ['JS', 'TypeScript', 'Angular.js'], 'Back End': ['C#', 'Java', 'Unity'], 'Database': ['SQL', 'MariaDB'], 'Cloud Provider': ['AWS']}",11-50,E-Learning Providers,,3,5
Colab Software,https://www.linkedin.com/company/colabsoftware/,https://www.colabsoftware.com/,"{'Front End': ['JS', 'React.js'], 'Back End': ['Python', 'Flask', 'graphQL'], 'Database': ['Postgres'], 'DevOps Tools': ['Terraform'], 'Cloud Provider': ['AWS']}",51-200,Software Development,,39,110
Fonemed,https://www.linkedin.com/company/fonemed/,https://www.fonemed.com/,"{'Front End': ['React.js', 'Javascript', 'React Native', 'Javascript'], 'Back End': ['Node.js', 'Ruby'], 'Database': ['DynamoDB', 'Postgres'], 'DevOps Tools': ['Docker'], 'Cloud Provider': ['AWS']}",201-500,Hospitals and Health Care,1-800-366-3633,6,149
Get Coding,https://www.linkedin.com/school/get-coding,,"{'Front End': ['React.js', 'Amplify'], 'Back End': ['AppSync', 'GraphQL', 'Node.js'], 'Database': ['DynamoDB'], 'Cloud Provider': ['AWS']}",2-10,Higher Education,,22,23
HIVE Geospatial Inc.,https://www.linkedin.com/company/hive-geospatial-inc/about/,https://www.hivegeospatial.app/,"{'Front End': ['React.js'], 'Back End': ['Python'], 'Database': ['PostgreSQL', 'PostGIS'], 'DevOps Tools': ['Docker', 'GitHub actions'], 'Cloud Provider': ['Firebase']}",,Software Development,,3,
HeyOrca,https://www.linkedin.com/company/heyorca/,https://heyorca.com/,"{'Front End': ['JS', 'TypeScript', 'React.js', 'React-Native'], 'Back End': ['Node.js', 'PHP', 'Laravel', 'SQL'], 'Cloud Provider': ['Lambda', 'AWS', '']}",11-50,"Technology, Information and Internet",,19,39
InspectAR,https://www.linkedin.com/company/inspectar/,https://www.inspectar.com/,{'Back End': ['Unity']},,Software Development,,9,
Instrumar,https://www.linkedin.com/company/instrumar-limited/,https://www.instrumar.com/,{},11-50,"Appliances, Electrical, and Electronics Manufacturing",,2,29
JVPLabs,https://www.linkedin.com/company/jvplabs/,https://www.jvplabs.com/,"{'Front End': ['javascript', 'react.js', 'Storybook'], 'Back End': ['Python (numpy/scipy/scikit-learn/opencv/dask)', 'rapids.ai', 'ARM64', 'MIPI cameras'], 'Cloud Provider': ['GCP', 'containers']}",2-10,Medical Device,,3,12
Kraken Robotics,https://www.linkedin.com/company/krakenrobotics/,https://krakenrobotics.com/,"{'Front End': ['JavaScript', 'TypeScript', 'React', 'C#', 'WPF'], 'Back End': ['C++', 'Node.js', 'Prisma'], 'Database': ['PostgreSQL'], 'DevOps Tools': ['GitLab', 'Docker']}",201-500,Maritime Transportation,+17097575757,26,181
MetricsFlow,https://www.linkedin.com/company/metrics-flow/,https://www.metricsflow.com/,"{'Front End': ['JS'], 'Back End': ['PHP', 'Node.js', 'Salesforce', 'Python'], 'Database': ['SQL'], 'Cloud Provider': ['Azure']}",11-50,"Technology, Information and Internet",,7,7
Milk Moovement,https://www.linkedin.com/company/milkmoovement/,https://www.milkmoovement.com/,"{'Front End': ['JS', 'TypeScript', 'React.js', 'React Native'], 'Back End': ['Node.js'], 'Database': ['MongoDB'], 'Cloud Provider': ['AWS', 'S3', 'EC2', 'Lambda', 'Docker', '']}",51-200,Software Development,7096979928,14,97
Mysa,https://www.linkedin.com/company/mysa---empowered-homes/,https://getmysa.com/,"{'Front End': ['JS', 'React.js', 'React Native', 'TypeScript'], 'Database': ['NoSQL', 'SQL'], 'Cloud Provider': ['AWS']}",51-200,"Appliances, Electrical, and Electronics Manufacturing",,35,98
NetBenefit Software,https://www.linkedin.com/company/netbenefitsoftware/,https://netbenefitsoftware.com/,"{'Front End': ['React', 'TypeScript', 'NotificationAPI'], 'Back End': ['Node.js', 'Express', 'TypeScript', 'Knex', 'NotificationAPI'], 'Database': ['SQL'], 'DevOps Tools': ['GitHub Actions', 'Azure DevOps'], 'Cloud Provider': ['Azure']}",2-10,Software Development,,19,14
North Star Payroll,https://www.linkedin.com/company/northstarpayroll/,https://northstarpayroll.ca/,{},2-10,Financial Services,709-687-5650,5,4
NotificationAPI,https://www.linkedin.com/company/notificationapi,https://www.notificationapi.com/,"{'Front End': ['JS', 'TypeScript', 'React.js', 'Cypress'], 'Back End': ['Node.js', 'Jest'], 'Database': ['DynamoDB', 'MySQL'], 'DevOps Tools': ['Terraform', 'Serverless', 'Github Actions'], 'Cloud Provider': ['AWS']}",2-10,Software Development,,13,4
Oliver POS,https://www.linkedin.com/company/getoliverpos/,https://oliverpos.com/,"{'Front End': ['React js', 'React Native'], 'Back End': ['.NET', 'PHP', 'Wordpress'], 'Database': ['SQL']}",11-50,"Technology, Information and Internet",+1(833)6620633,6,17
Perfect Minute Games,https://www.linkedin.com/company/perfect-minute-games/,http://perfectminutegames.com/,"{'Front End': ['Unity', 'Unreal'], 'Back End': ['Unity', 'Unreal'], 'DevOps Tools': ['Unity Cloud build', 'Plastic SCM', 'git']}",0-1,Computer Games,,3,1
PolyUnity,https://www.linkedin.com/company/polyunity/,https://www.polyunity.com/,"{'Front End': ['JS', 'React.js', 'MaterialUI'], 'Back End': ['Node.js'], 'Database': ['PostgreSQL', 'Firestore', 'Bigquery'], 'Cloud Provider': ['GCP (Functions', 'Firebase', 'CloudSQL', 'BigQuery)']}",51-200,Medical Equipment Manufacturing,,26,22
Prospre,https://www.linkedin.com/company/prospre/,https://www.prospre.io/,"{'Front End': ['HTML/CSS', 'React', 'React Native', 'JS'], 'Back End': ['Python', 'Flask'], 'Database': ['PostgreSQL'], 'Cloud Provider': ['AWS', 'Firebase']}",2-10,Wellness and Fitness Services,,2,2
Radient360,https://www.linkedin.com/company/radient360/,https://radient360.com/,"{'Front End': ['React.js'], 'Back End': ['Node.js'], 'Database': ['MongoDB', 'Neo4j'], 'DevOps Tools': ['Ansible', 'Terraform', 'Docker', 'Kubernetes'], 'Cloud Provider': ['AWS']}",11-50,"Technology, Information and Internet",,8,3
Rally,https://www.linkedin.com/company/rallylegal/,https://www.rallylegal.com/,"{'Front End': ['React.js', 'Cypress', 'Storybook', 'Tailwind'], 'Back End': ['Node.js', 'GraphQL', 'Jest'], 'Database': ['MongoDB', 'Redis'], 'DevOps Tools': ['Docker', 'Kubernetes', 'Kustomize', 'Skaffold', 'GitLab'], 'Cloud Provider': ['AWS']}",11-50,Software Development,,19,65
Sequence Bio,https://www.linkedin.com/company/sequencebioinformatics/,https://www.sequencebio.com/,"{'Back End': ['Ruby', 'Python', 'R', 'Databricks', 'Salesforce'], 'DevOps Tools': ['Terraform', 'Github', 'Docker', 'CircleCI'], 'Cloud Provider': ['AWS', 'EC2', 'S3', 'AWS Connect', 'Auth0', 'AlienVault', 'Umbrella', 'Sophos']}",51-200,Biotechnology Research,,8,18
SiftMed,https://www.linkedin.com/company/siftmed/,https://www.siftmed.ca/,"{'Front End': ['React.js', 'Material UI', 'Syncfusion'], 'Back End': ['Python', 'Tensorflow'], 'Database': ['MySQL'], 'DevOps Tools': ['Serverless', 'Terraform', 'Docker'], 'Cloud Provider': ['AWS']}",11-50,Software Development,,28,35
SkillsHawk,https://www.linkedin.com/company/skillshawks/,https://www.skillshawk.com/,"{'Front End': ['React.js'], 'Back End': ['Node.js', 'Python'], 'Database': ['SQL', 'DynamoDb'], 'DevOps Tools': ['CloudFormation', 'SAM', 'Severless'], 'Cloud Provider': ['AWS']}",2-10,IT Services and IT Consulting,+1 (709) 864-2625,0,3
SkyHawk By Telus,https://www.linkedin.com/company/skyhawktelematics/,https://skyhawktelematics.com/,"{'Back End': ['Java', 'Vert.x'], 'Database': ['MongoDB'], 'Cloud Provider': ['AWS', 'Fargate', 'EC2', 'GWT']}",11-50,Telecommunications,,0,21
StrobelTek,https://www.linkedin.com/company/strobeltek/,https://strobeltek.com/,"{'Back End': ['C/C++', 'Python', 'ROS', 'CUDA', 'Tensorflow', 'QT', 'Matlab/Octave']}",2-10,Aviation and Aerospace Component Manufacturing,,8,2
SubC Imaging,https://www.linkedin.com/company/subc-control/,https://www.subcimaging.com/,"{'Front End': ['Xamarin', 'Blazor'], 'Back End': ['C#', 'WPF', 'ASP.NET Core'], 'Cloud Provider': ['Azure', 'AWS']}",11-50,Research Services,17097020392,3,25
TxtSquad,https://www.linkedin.com/company/txtsquad/,https://txtsquad.com/,"{'Front End': ['JavaScript', 'TypeScript', 'React.js', 'React Native'], 'Back End': ['Node.js'], 'Database': ['MongoDB', 'Redis'], 'Cloud Provider': ['AWS', 'Vercel', 'Expo']}",2-10,Software Development,(709) 400-6262,6,5
Verafin,https://www.linkedin.com/company/verafin/,https://verafin.com/?src=linkedinbutton,"{'Front End': ['JavaScript', 'React.js'], 'Back End': ['Java', 'Python'], 'Database': ['PostgresSQL', 'Data Lakes', 'DynamoDB'], 'DevOps Tools': ['Docker', 'Terraform', 'Jenkins', 'Gradle'], 'Cloud Provider': ['AWS']}",1001-5000,Software Development,1.877.368.9986,44,686
Virtual Marine,https://www.linkedin.com/company/virtualmarinetech/,https://www.virtualmarine.ca/,"{'Back End': ['Unity3D', 'C#', 'Qt', 'C++', 'Moodle', 'HLA 1.3', 'Blender']}",11-50,Oil and Gas,709-738-6306,17,40
